EmployeeID,Employee Name,Department,Position,Hire Date,Region
E001,Employee 1,Sales,Sales Rep,2022-03-29,West
E002,Employee 2,Sales,Sales Rep,2024-06-23,South
E003,Employee 3,Sales,Sales Rep,2022-12-21,South
E004,Employee 4,Sales,Sales Rep,2024-11-09,West
E005,Employee 5,Sales,Sales Rep,2024-12-04,East
E006,Employee 6,Sales,Sales Rep,2023-02-08,South
E007,Employee 7,Sales,Sales Rep,2024-01-07,North
E008,Employee 8,Sales,Sales Rep,2023-11-30,North
E009,Employee 9,Sales,Sales Rep,2024-07-27,North
E010,Employee 10,Sales,Sales Rep,2022-12-29,South
E011,Employee 11,Sales,Sales Rep,2023-08-08,West
E012,Employee 12,Sales,Sales Rep,2022-03-30,North
E013,Employee 13,Sales,Sales Rep,2025-03-04,West
E014,Employee 14,Sales,Sales Rep,2022-07-08,West
E015,Employee 15,Sales,Sales Rep,2024-11-14,East
E016,Employee 16,Sales,Sales Rep,2024-03-18,East
E017,Employee 17,Sales,Sales Rep,2023-12-23,West
E018,Employee 18,Sales,Sales Rep,2022-04-11,West
E019,Employee 19,Sales,Sales Rep,2022-02-05,West
E020,Employee 20,Sales,Sales Rep,2023-09-16,East
